Age,Race,Sex,Education,Weight
75 years and over,Hispanic,Female,7th - 8th grade,90
75 years and over,Hispanic,Female,9th grade,52
75 years and over,Hispanic,Female,10th grade,45
75 years and over,Hispanic,Female,11th grade2,31
75 years and over,Hispanic,Female,High school graduate,271
75 years and over,Hispanic,Female,"Some college, no degree",79
75 years and over,Hispanic,Female,"Associate's degree, occupational",31
75 years and over,Hispanic,Female,"Associate's degree, academic",16
75 years and over,Hispanic,Female,Bachelor's degree,66
75 years and over,Hispanic,Female,Master's degree,22
75 years and over,Hispanic,Female,Professional degree,5
75 years and over,Hispanic,Female,Doctoral degree,4
18 to 24 years,Black,Male,None,0
18 to 24 years,Black,Male,1st - 4th grade,2
18 to 24 years,Black,Male,5th - 6th grade,8
18 to 24 years,Black,Male,7th - 8th grade,9
18 to 24 years,Black,Male,9th grade,13
18 to 24 years,Black,Male,10th grade,43
18 to 24 years,Black,Male,11th grade2,322
18 to 24 years,Black,Male,High school graduate,843
18 to 24 years,Black,Male,"Some college, no degree",712
18 to 24 years,Black,Male,"Associate's degree, occupational",38
18 to 24 years,Black,Male,"Associate's degree, academic",62
18 to 24 years,Black,Male,Bachelor's degree,128
18 to 24 years,Black,Male,Master's degree,5
18 to 24 years,Black,Male,Professional degree,0
18 to 24 years,Black,Male,Doctoral degree,2
25 to 29 years,Black,Male,None,1
25 to 29 years,Black,Male,1st - 4th grade,0
25 to 29 years,Black,Male,5th - 6th grade,7
25 to 29 years,Black,Male,7th - 8th grade,13
25 to 29 years,Black,Male,9th grade,19
25 to 29 years,Black,Male,10th grade,37
25 to 29 years,Black,Male,11th grade2,80
25 to 29 years,Black,Male,High school graduate,639
25 to 29 years,Black,Male,"Some college, no degree",412
25 to 29 years,Black,Male,"Associate's degree, occupational",80
25 to 29 years,Black,Male,"Associate's degree, academic",93
25 to 29 years,Black,Male,Bachelor's degree,266
25 to 29 years,Black,Male,Master's degree,37
25 to 29 years,Black,Male,Professional degree,5
25 to 29 years,Black,Male,Doctoral degree,7
30 to 34 years,Black,Male,None,5
30 to 34 years,Black,Male,1st - 4th grade,1
30 to 34 years,Black,Male,5th - 6th grade,1
30 to 34 years,Black,Male,7th - 8th grade,4
30 to 34 years,Black,Male,9th grade,11
30 to 34 years,Black,Male,10th grade,35
30 to 34 years,Black,Male,11th grade2,72
30 to 34 years,Black,Male,High school graduate,465
30 to 34 years,Black,Male,"Some college, no degree",303
30 to 34 years,Black,Male,"Associate's degree, occupational",38
30 to 34 years,Black,Male,"Associate's degree, academic",76
30 to 34 years,Black,Male,Bachelor's degree,296
30 to 34 years,Black,Male,Master's degree,58
30 to 34 years,Black,Male,Professional degree,8
30 to 34 years,Black,Male,Doctoral degree,19
35 to 39 years,Black,Male,None,5
35 to 39 years,Black,Male,1st - 4th grade,4
35 to 39 years,Black,Male,5th - 6th grade,13
35 to 39 years,Black,Male,7th - 8th grade,11
35 to 39 years,Black,Male,9th grade,17
35 to 39 years,Black,Male,10th grade,19
35 to 39 years,Black,Male,11th grade2,88
35 to 39 years,Black,Male,High school graduate,423
35 to 39 years,Black,Male,"Some college, no degree",229
35 to 39 years,Black,Male,"Associate's degree, occupational",33
35 to 39 years,Black,Male,"Associate's degree, academic",67
35 to 39 years,Black,Male,Bachelor's degree,245
35 to 39 years,Black,Male,Master's degree,125
35 to 39 years,Black,Male,Professional degree,5
35 to 39 years,Black,Male,Doctoral degree,19
40 to 44 years,Black,Male,None,0
40 to 44 years,Black,Male,1st - 4th grade,4
40 to 44 years,Black,Male,5th - 6th grade,3
40 to 44 years,Black,Male,7th - 8th grade,0
40 to 44 years,Black,Male,9th grade,7
40 to 44 years,Black,Male,10th grade,15
40 to 44 years,Black,Male,11th grade2,59
40 to 44 years,Black,Male,High school graduate,385
40 to 44 years,Black,Male,"Some college, no degree",243
40 to 44 years,Black,Male,"Associate's degree, occupational",40
40 to 44 years,Black,Male,"Associate's degree, academic",64
40 to 44 years,Black,Male,Bachelor's degree,224
40 to 44 years,Black,Male,Master's degree,85
40 to 44 years,Black,Male,Professional degree,10
40 to 44 years,Black,Male,Doctoral degree,16
45 to 49 years,Black,Male,None,6
45 to 49 years,Black,Male,1st - 4th grade,5
45 to 49 years,Black,Male,5th - 6th grade,3
45 to 49 years,Black,Male,7th - 8th grade,20
45 to 49 years,Black,Male,9th grade,6
45 to 49 years,Black,Male,10th grade,18
45 to 49 years,Black,Male,11th grade2,64
45 to 49 years,Black,Male,High school graduate,457
45 to 49 years,Black,Male,"Some college, no degree",218
45 to 49 years,Black,Male,"Associate's degree, occupational",39
45 to 49 years,Black,Male,"Associate's degree, academic",70
45 to 49 years,Black,Male,Bachelor's degree,165
45 to 49 years,Black,Male,Master's degree,128
45 to 49 years,Black,Male,Professional degree,9
45 to 49 years,Black,Male,Doctoral degree,6
50 to 54 years,Black,Male,None,1
50 to 54 years,Black,Male,1st - 4th grade,0
50 to 54 years,Black,Male,5th - 6th grade,7
50 to 54 years,Black,Male,7th - 8th grade,17
50 to 54 years,Black,Male,9th grade,8
50 to 54 years,Black,Male,10th grade,27
50 to 54 years,Black,Male,11th grade2,96
50 to 54 years,Black,Male,High school graduate,529
50 to 54 years,Black,Male,"Some college, no degree",215
50 to 54 years,Black,Male,"Associate's degree, occupational",53
50 to 54 years,Black,Male,"Associate's degree, academic",67
50 to 54 years,Black,Male,Bachelor's degree,126
50 to 54 years,Black,Male,Master's degree,62
50 to 54 years,Black,Male,Professional degree,9
50 to 54 years,Black,Male,Doctoral degree,10
55 to 59 years,Black,Male,None,5
55 to 59 years,Black,Male,1st - 4th grade,3
55 to 59 years,Black,Male,5th - 6th grade,6
55 to 59 years,Black,Male,7th - 8th grade,19
55 to 59 years,Black,Male,9th grade,16
55 to 59 years,Black,Male,10th grade,25
55 to 59 years,Black,Male,11th grade2,74
55 to 59 years,Black,Male,High school graduate,468
55 to 59 years,Black,Male,"Some college, no degree",175
55 to 59 years,Black,Male,"Associate's degree, occupational",52
55 to 59 years,Black,Male,"Associate's degree, academic",72
55 to 59 years,Black,Male,Bachelor's degree,172
55 to 59 years,Black,Male,Master's degree,51
55 to 59 years,Black,Male,Professional degree,13
55 to 59 years,Black,Male,Doctoral degree,7
60 to 64 years,Black,Male,None,2
60 to 64 years,Black,Male,1st - 4th grade,2
60 to 64 years,Black,Male,5th - 6th grade,3
60 to 64 years,Black,Male,7th - 8th grade,14
60 to 64 years,Black,Male,9th grade,20
60 to 64 years,Black,Male,10th grade,28
60 to 64 years,Black,Male,11th grade2,55
60 to 64 years,Black,Male,High school graduate,393
60 to 64 years,Black,Male,"Some college, no degree",207
60 to 64 years,Black,Male,"Associate's degree, occupational",46
60 to 64 years,Black,Male,"Associate's degree, academic",47
60 to 64 years,Black,Male,Bachelor's degree,159
60 to 64 years,Black,Male,Master's degree,44
60 to 64 years,Black,Male,Professional degree,5
60 to 64 years,Black,Male,Doctoral degree,18
65 to 69 years,Black,Male,None,0
65 to 69 years,Black,Male,1st - 4th grade,6
65 to 69 years,Black,Male,5th - 6th grade,9
65 to 69 years,Black,Male,7th - 8th grade,20
65 to 69 years,Black,Male,9th grade,14
65 to 69 years,Black,Male,10th grade,23
65 to 69 years,Black,Male,11th grade2,56
65 to 69 years,Black,Male,High school graduate,264
65 to 69 years,Black,Male,"Some college, no degree",122
65 to 69 years,Black,Male,"Associate's degree, occupational",40
65 to 69 years,Black,Male,"Associate's degree, academic",33
65 to 69 years,Black,Male,Bachelor's degree,124
65 to 69 years,Black,Male,Master's degree,42
65 to 69 years,Black,Male,Professional degree,3
65 to 69 years,Black,Male,Doctoral degree,13
70 to 74 years,Black,Male,None,3
70 to 74 years,Black,Male,1st - 4th grade,2
70 to 74 years,Black,Male,5th - 6th grade,9
70 to 74 years,Black,Male,7th - 8th grade,21
70 to 74 years,Black,Male,9th grade,9
70 to 74 years,Black,Male,10th grade,15
70 to 74 years,Black,Male,11th grade2,32
70 to 74 years,Black,Male,High school graduate,188
70 to 74 years,Black,Male,"Some college, no degree",102
70 to 74 years,Black,Male,"Associate's degree, occupational",20
70 to 74 years,Black,Male,"Associate's degree, academic",27
70 to 74 years,Black,Male,Bachelor's degree,66
70 to 74 years,Black,Male,Master's degree,34
70 to 74 years,Black,Male,Professional degree,5
70 to 74 years,Black,Male,Doctoral degree,11
75 years and over,Black,Male,None,0
75 years and over,Black,Male,1st - 4th grade,33
75 years and over,Black,Male,5th - 6th grade,25
75 years and over,Black,Male,7th - 8th grade,33
75 years and over,Black,Male,9th grade,28
75 years and over,Black,Male,10th grade,44
75 years and over,Black,Male,11th grade2,33
75 years and over,Black,Male,High school graduate,257
75 years and over,Black,Male,"Some college, no degree",111
75 years and over,Black,Male,"Associate's degree, occupational",3
75 years and over,Black,Male,"Associate's degree, academic",8
75 years and over,Black,Male,Bachelor's degree,63
75 years and over,Black,Male,Master's degree,41
75 years and over,Black,Male,Professional degree,2
75 years and over,Black,Male,Doctoral degree,10
18 to 24 years,Black,Female,None,13
18 to 24 years,Black,Female,1st - 4th grade,8
18 to 24 years,Black,Female,5th - 6th grade,2
18 to 24 years,Black,Female,7th - 8th grade,8
18 to 24 years,Black,Female,9th grade,16
18 to 24 years,Black,Female,10th grade,49
18 to 24 years,Black,Female,11th grade2,277
18 to 24 years,Black,Female,High school graduate,725
18 to 24 years,Black,Female,"Some college, no degree",829
18 to 24 years,Black,Female,"Associate's degree, occupational",44
18 to 24 years,Black,Female,"Associate's degree, academic",75
18 to 24 years,Black,Female,Bachelor's degree,188
18 to 24 years,Black,Female,Master's degree,11
18 to 24 years,Black,Female,Professional degree,0
18 to 24 years,Black,Female,Doctoral degree,0
25 to 29 years,Black,Female,None,6
25 to 29 years,Black,Female,1st - 4th grade,0
25 to 29 years,Black,Female,5th - 6th grade,2
25 to 29 years,Black,Female,7th - 8th grade,6
25 to 29 years,Black,Female,9th grade,26
25 to 29 years,Black,Female,10th grade,25
25 to 29 years,Black,Female,11th grade2,61
25 to 29 years,Black,Female,High school graduate,562
25 to 29 years,Black,Female,"Some college, no degree",495
25 to 29 years,Black,Female,"Associate's degree, occupational",66
25 to 29 years,Black,Female,"Associate's degree, academic",112
25 to 29 years,Black,Female,Bachelor's degree,365
25 to 29 years,Black,Female,Master's degree,81
25 to 29 years,Black,Female,Professional degree,15
25 to 29 years,Black,Female,Doctoral degree,10
30 to 34 years,Black,Female,None,3
30 to 34 years,Black,Female,1st - 4th grade,10
30 to 34 years,Black,Female,5th - 6th grade,3
30 to 34 years,Black,Female,7th - 8th grade,12
30 to 34 years,Black,Female,9th grade,11
30 to 34 years,Black,Female,10th grade,25
30 to 34 years,Black,Female,11th grade2,43
30 to 34 years,Black,Female,High school graduate,390
30 to 34 years,Black,Female,"Some college, no degree",329
30 to 34 years,Black,Female,"Associate's degree, occupational",103
30 to 34 years,Black,Female,"Associate's degree, academic",131
30 to 34 years,Black,Female,Bachelor's degree,341
30 to 34 years,Black,Female,Master's degree,140
30 to 34 years,Black,Female,Professional degree,9
30 to 34 years,Black,Female,Doctoral degree,34
35 to 39 years,Black,Female,None,0
35 to 39 years,Black,Female,1st - 4th grade,4
35 to 39 years,Black,Female,5th - 6th grade,6
35 to 39 years,Black,Female,7th - 8th grade,8
35 to 39 years,Black,Female,9th grade,12
35 to 39 years,Black,Female,10th grade,20
35 to 39 years,Black,Female,11th grade2,60
35 to 39 years,Black,Female,High school graduate,411
35 to 39 years,Black,Female,"Some college, no degree",319
35 to 39 years,Black,Female,"Associate's degree, occupational",95
35 to 39 years,Black,Female,"Associate's degree, academic",113
35 to 39 years,Black,Female,Bachelor's degree,284
35 to 39 years,Black,Female,Master's degree,178
35 to 39 years,Black,Female,Professional degree,19
35 to 39 years,Black,Female,Doctoral degree,15
40 to 44 years,Black,Female,None,2
40 to 44 years,Black,Female,1st - 4th grade,6
40 to 44 years,Black,Female,5th - 6th grade,5
40 to 44 years,Black,Female,7th - 8th grade,10
40 to 44 years,Black,Female,9th grade,15
40 to 44 years,Black,Female,10th grade,13
40 to 44 years,Black,Female,11th grade2,34
40 to 44 years,Black,Female,High school graduate,384
40 to 44 years,Black,Female,"Some college, no degree",257
40 to 44 years,Black,Female,"Associate's degree, occupational",87
40 to 44 years,Black,Female,"Associate's degree, academic",96
40 to 44 years,Black,Female,Bachelor's degree,300
40 to 44 years,Black,Female,Master's degree,163
40 to 44 years,Black,Female,Professional degree,16
40 to 44 years,Black,Female,Doctoral degree,21
45 to 49 years,Black,Female,None,5
45 to 49 years,Black,Female,1st - 4th grade,3
45 to 49 years,Black,Female,5th - 6th grade,7
45 to 49 years,Black,Female,7th - 8th grade,11
45 to 49 years,Black,Female,9th grade,7
45 to 49 years,Black,Female,10th grade,41
45 to 49 years,Black,Female,11th grade2,63
45 to 49 years,Black,Female,High school graduate,362
45 to 49 years,Black,Female,"Some college, no degree",318
45 to 49 years,Black,Female,"Associate's degree, occupational",56
45 to 49 years,Black,Female,"Associate's degree, academic",105
45 to 49 years,Black,Female,Bachelor's degree,282
45 to 49 years,Black,Female,Master's degree,162
45 to 49 years,Black,Female,Professional degree,14
45 to 49 years,Black,Female,Doctoral degree,18
50 to 54 years,Black,Female,None,4
50 to 54 years,Black,Female,1st - 4th grade,3
50 to 54 years,Black,Female,5th - 6th grade,3
50 to 54 years,Black,Female,7th - 8th grade,10
50 to 54 years,Black,Female,9th grade,16
50 to 54 years,Black,Female,10th grade,34
50 to 54 years,Black,Female,11th grade2,81
50 to 54 years,Black,Female,High school graduate,415
50 to 54 years,Black,Female,"Some college, no degree",300
50 to 54 years,Black,Female,"Associate's degree, occupational",65
50 to 54 years,Black,Female,"Associate's degree, academic",117
50 to 54 years,Black,Female,Bachelor's degree,262
50 to 54 years,Black,Female,Master's degree,120
50 to 54 years,Black,Female,Professional degree,7
50 to 54 years,Black,Female,Doctoral degree,18
55 to 59 years,Black,Female,None,5
55 to 59 years,Black,Female,1st - 4th grade,2
55 to 59 years,Black,Female,5th - 6th grade,9
55 to 59 years,Black,Female,7th - 8th grade,25
55 to 59 years,Black,Female,9th grade,23
55 to 59 years,Black,Female,10th grade,28
55 to 59 years,Black,Female,11th grade2,83
55 to 59 years,Black,Female,High school graduate,452
55 to 59 years,Black,Female,"Some college, no degree",281
55 to 59 years,Black,Female,"Associate's degree, occupational",58
55 to 59 years,Black,Female,"Associate's degree, academic",91
55 to 59 years,Black,Female,Bachelor's degree,209
55 to 59 years,Black,Female,Master's degree,89
55 to 59 years,Black,Female,Professional degree,9
55 to 59 years,Black,Female,Doctoral degree,15
60 to 64 years,Black,Female,None,10
60 to 64 years,Black,Female,1st - 4th grade,2
60 to 64 years,Black,Female,5th - 6th grade,11
60 to 64 years,Black,Female,7th - 8th grade,22
60 to 64 years,Black,Female,9th grade,18
60 to 64 years,Black,Female,10th grade,33
60 to 64 years,Black,Female,11th grade2,110
60 to 64 years,Black,Female,High school graduate,441
60 to 64 years,Black,Female,"Some college, no degree",253
60 to 64 years,Black,Female,"Associate's degree, occupational",67
60 to 64 years,Black,Female,"Associate's degree, academic",110
60 to 64 years,Black,Female,Bachelor's degree,189
60 to 64 years,Black,Female,Master's degree,76
60 to 64 years,Black,Female,Professional degree,6
60 to 64 years,Black,Female,Doctoral degree,16
65 to 69 years,Black,Female,None,2
65 to 69 years,Black,Female,1st - 4th grade,9
65 to 69 years,Black,Female,5th - 6th grade,9
65 to 69 years,Black,Female,7th - 8th grade,19
65 to 69 years,Black,Female,9th grade,19
65 to 69 years,Black,Female,10th grade,38
65 to 69 years,Black,Female,11th grade2,57
65 to 69 years,Black,Female,High school graduate,317
65 to 69 years,Black,Female,"Some college, no degree",198
65 to 69 years,Black,Female,"Associate's degree, occupational",48
65 to 69 years,Black,Female,"Associate's degree, academic",66
65 to 69 years,Black,Female,Bachelor's degree,147
65 to 69 years,Black,Female,Master's degree,76
65 to 69 years,Black,Female,Professional degree,7
65 to 69 years,Black,Female,Doctoral degree,17
70 to 74 years,Black,Female,None,4
70 to 74 years,Black,Female,1st - 4th grade,10
70 to 74 years,Black,Female,5th - 6th grade,23
70 to 74 years,Black,Female,7th - 8th grade,28
70 to 74 years,Black,Female,9th grade,18
70 to 74 years,Black,Female,10th grade,40
70 to 74 years,Black,Female,11th grade2,55
70 to 74 years,Black,Female,High school graduate,198
70 to 74 years,Black,Female,"Some college, no degree",118
70 to 74 years,Black,Female,"Associate's degree, occupational",25
70 to 74 years,Black,Female,"Associate's degree, academic",55
70 to 74 years,Black,Female,Bachelor's degree,59
70 to 74 years,Black,Female,Master's degree,43
70 to 74 years,Black,Female,Professional degree,8
70 to 74 years,Black,Female,Doctoral degree,6
75 years and over,Black,Female,None,12
75 years and over,Black,Female,1st - 4th grade,18
75 years and over,Black,Female,5th - 6th grade,22
75 years and over,Black,Female,7th - 8th grade,68
75 years and over,Black,Female,9th grade,42
75 years and over,Black,Female,10th grade,85
75 years and over,Black,Female,11th grade2,90
75 years and over,Black,Female,High school graduate,441
75 years and over,Black,Female,"Some college, no degree",135
75 years and over,Black,Female,"Associate's degree, occupational",27
75 years and over,Black,Female,"Associate's degree, academic",23
75 years and over,Black,Female,Bachelor's degree,70
75 years and over,Black,Female,Master's degree,60
75 years and over,Black,Female,Professional degree,5
75 years and over,Black,Female,Doctoral degree,17
18 to 24 years,Asian,Male,None,0
18 to 24 years,Asian,Male,1st - 4th grade,2
18 to 24 years,Asian,Male,5th - 6th grade,2
18 to 24 years,Asian,Male,7th - 8th grade,7
18 to 24 years,Asian,Male,9th grade,5
18 to 24 years,Asian,Male,10th grade,12
18 to 24 years,Asian,Male,11th grade2,70
18 to 24 years,Asian,Male,High school graduate,144
18 to 24 years,Asian,Male,"Some college, no degree",432
18 to 24 years,Asian,Male,"Associate's degree, occupational",16
18 to 24 years,Asian,Male,"Associate's degree, academic",18
18 to 24 years,Asian,Male,Bachelor's degree,167
18 to 24 years,Asian,Male,Master's degree,32
18 to 24 years,Asian,Male,Professional degree,2
18 to 24 years,Asian,Male,Doctoral degree,3
25 to 29 years,Asian,Male,None,0
25 to 29 years,Asian,Male,1st - 4th grade,0
25 to 29 years,Asian,Male,5th - 6th grade,0
25 to 29 years,Asian,Male,7th - 8th grade,6
25 to 29 years,Asian,Male,9th grade,0
25 to 29 years,Asian,Male,10th grade,6
25 to 29 years,Asian,Male,11th grade2,7
25 to 29 years,Asian,Male,High school graduate,116
25 to 29 years,Asian,Male,"Some college, no degree",85
25 to 29 years,Asian,Male,"Associate's degree, occupational",26
25 to 29 years,Asian,Male,"Associate's degree, academic",16
25 to 29 years,Asian,Male,Bachelor's degree,333
25 to 29 years,Asian,Male,Master's degree,204
25 to 29 years,Asian,Male,Professional degree,13
25 to 29 years,Asian,Male,Doctoral degree,13
30 to 34 years,Asian,Male,None,0
30 to 34 years,Asian,Male,1st - 4th grade,0
30 to 34 years,Asian,Male,5th - 6th grade,0
30 to 34 years,Asian,Male,7th - 8th grade,0
30 to 34 years,Asian,Male,9th grade,3
30 to 34 years,Asian,Male,10th grade,8
30 to 34 years,Asian,Male,11th grade2,1
30 to 34 years,Asian,Male,High school graduate,115
30 to 34 years,Asian,Male,"Some college, no degree",65
30 to 34 years,Asian,Male,"Associate's degree, occupational",22
30 to 34 years,Asian,Male,"Associate's degree, academic",20
30 to 34 years,Asian,Male,Bachelor's degree,289
30 to 34 years,Asian,Male,Master's degree,195
30 to 34 years,Asian,Male,Professional degree,20
30 to 34 years,Asian,Male,Doctoral degree,67
35 to 39 years,Asian,Male,None,0
35 to 39 years,Asian,Male,1st - 4th grade,3
35 to 39 years,Asian,Male,5th - 6th grade,3
35 to 39 years,Asian,Male,7th - 8th grade,2
35 to 39 years,Asian,Male,9th grade,2
35 to 39 years,Asian,Male,10th grade,2
35 to 39 years,Asian,Male,11th grade2,20
35 to 39 years,Asian,Male,High school graduate,110
35 to 39 years,Asian,Male,"Some college, no degree",69
35 to 39 years,Asian,Male,"Associate's degree, occupational",16
35 to 39 years,Asian,Male,"Associate's degree, academic",33
35 to 39 years,Asian,Male,Bachelor's degree,257
35 to 39 years,Asian,Male,Master's degree,173
35 to 39 years,Asian,Male,Professional degree,21
35 to 39 years,Asian,Male,Doctoral degree,55
40 to 44 years,Asian,Male,None,3
40 to 44 years,Asian,Male,1st - 4th grade,7
40 to 44 years,Asian,Male,5th - 6th grade,6
40 to 44 years,Asian,Male,7th - 8th grade,3
40 to 44 years,Asian,Male,9th grade,3
40 to 44 years,Asian,Male,10th grade,2
40 to 44 years,Asian,Male,11th grade2,12
40 to 44 years,Asian,Male,High school graduate,105
40 to 44 years,Asian,Male,"Some college, no degree",55
40 to 44 years,Asian,Male,"Associate's degree, occupational",9
40 to 44 years,Asian,Male,"Associate's degree, academic",46
40 to 44 years,Asian,Male,Bachelor's degree,226
40 to 44 years,Asian,Male,Master's degree,182
40 to 44 years,Asian,Male,Professional degree,16
40 to 44 years,Asian,Male,Doctoral degree,64
45 to 49 years,Asian,Male,None,0
45 to 49 years,Asian,Male,1st - 4th grade,1
45 to 49 years,Asian,Male,5th - 6th grade,3
45 to 49 years,Asian,Male,7th - 8th grade,10
45 to 49 years,Asian,Male,9th grade,10
45 to 49 years,Asian,Male,10th grade,4
45 to 49 years,Asian,Male,11th grade2,15
45 to 49 years,Asian,Male,High school graduate,140
45 to 49 years,Asian,Male,"Some college, no degree",68
45 to 49 years,Asian,Male,"Associate's degree, occupational",20
45 to 49 years,Asian,Male,"Associate's degree, academic",31
45 to 49 years,Asian,Male,Bachelor's degree,199
45 to 49 years,Asian,Male,Master's degree,89
45 to 49 years,Asian,Male,Professional degree,35
45 to 49 years,Asian,Male,Doctoral degree,55
50 to 54 years,Asian,Male,None,0
50 to 54 years,Asian,Male,1st - 4th grade,3
50 to 54 years,Asian,Male,5th - 6th grade,6
50 to 54 years,Asian,Male,7th - 8th grade,5
50 to 54 years,Asian,Male,9th grade,14
50 to 54 years,Asian,Male,10th grade,9
50 to 54 years,Asian,Male,11th grade2,20
50 to 54 years,Asian,Male,High school graduate,102
50 to 54 years,Asian,Male,"Some college, no degree",48
50 to 54 years,Asian,Male,"Associate's degree, occupational",6
50 to 54 years,Asian,Male,"Associate's degree, academic",20
50 to 54 years,Asian,Male,Bachelor's degree,131
50 to 54 years,Asian,Male,Master's degree,132
50 to 54 years,Asian,Male,Professional degree,9
50 to 54 years,Asian,Male,Doctoral degree,47
55 to 59 years,Asian,Male,None,6
55 to 59 years,Asian,Male,1st - 4th grade,4
55 to 59 years,Asian,Male,5th - 6th grade,16
55 to 59 years,Asian,Male,7th - 8th grade,10
55 to 59 years,Asian,Male,9th grade,0
55 to 59 years,Asian,Male,10th grade,6
55 to 59 years,Asian,Male,11th grade2,16
55 to 59 years,Asian,Male,High school graduate,115
55 to 59 years,Asian,Male,"Some college, no degree",47
55 to 59 years,Asian,Male,"Associate's degree, occupational",20
55 to 59 years,Asian,Male,"Associate's degree, academic",14
55 to 59 years,Asian,Male,Bachelor's degree,127
55 to 59 years,Asian,Male,Master's degree,58
55 to 59 years,Asian,Male,Professional degree,18
55 to 59 years,Asian,Male,Doctoral degree,39
60 to 64 years,Asian,Male,None,8
60 to 64 years,Asian,Male,1st - 4th grade,5
60 to 64 years,Asian,Male,5th - 6th grade,6
60 to 64 years,Asian,Male,7th - 8th grade,4
60 to 64 years,Asian,Male,9th grade,6
60 to 64 years,Asian,Male,10th grade,6
60 to 64 years,Asian,Male,11th grade2,11
60 to 64 years,Asian,Male,High school graduate,120
60 to 64 years,Asian,Male,"Some college, no degree",44
60 to 64 years,Asian,Male,"Associate's degree, occupational",14
60 to 64 years,Asian,Male,"Associate's degree, academic",11
60 to 64 years,Asian,Male,Bachelor's degree,147
60 to 64 years,Asian,Male,Master's degree,77
60 to 64 years,Asian,Male,Professional degree,8
60 to 64 years,Asian,Male,Doctoral degree,34
65 to 69 years,Asian,Male,None,8
65 to 69 years,Asian,Male,1st - 4th grade,4
65 to 69 years,Asian,Male,5th - 6th grade,20
65 to 69 years,Asian,Male,7th - 8th grade,8
65 to 69 years,Asian,Male,9th grade,4
65 to 69 years,Asian,Male,10th grade,0
65 to 69 years,Asian,Male,11th grade2,12
65 to 69 years,Asian,Male,High school graduate,99
65 to 69 years,Asian,Male,"Some college, no degree",42
65 to 69 years,Asian,Male,"Associate's degree, occupational",8
65 to 69 years,Asian,Male,"Associate's degree, academic",9
65 to 69 years,Asian,Male,Bachelor's degree,113
65 to 69 years,Asian,Male,Master's degree,31
65 to 69 years,Asian,Male,Professional degree,10
65 to 69 years,Asian,Male,Doctoral degree,10
70 to 74 years,Asian,Male,None,0
70 to 74 years,Asian,Male,1st - 4th grade,0
70 to 74 years,Asian,Male,5th - 6th grade,10
70 to 74 years,Asian,Male,7th - 8th grade,11
70 to 74 years,Asian,Male,9th grade,4
70 to 74 years,Asian,Male,10th grade,4
70 to 74 years,Asian,Male,11th grade2,6
70 to 74 years,Asian,Male,High school graduate,72
70 to 74 years,Asian,Male,"Some college, no degree",17
70 to 74 years,Asian,Male,"Associate's degree, occupational",2
70 to 74 years,Asian,Male,"Associate's degree, academic",9
70 to 74 years,Asian,Male,Bachelor's degree,64
70 to 74 years,Asian,Male,Master's degree,30
70 to 74 years,Asian,Male,Professional degree,13
70 to 74 years,Asian,Male,Doctoral degree,14
75 years and over,Asian,Male,None,4
75 years and over,Asian,Male,1st - 4th grade,11
75 years and over,Asian,Male,5th - 6th grade,22
75 years and over,Asian,Male,7th - 8th grade,8
75 years and over,Asian,Male,9th grade,9
75 years and over,Asian,Male,10th grade,4
75 years and over,Asian,Male,11th grade2,13
75 years and over,Asian,Male,High school graduate,87
75 years and over,Asian,Male,"Some college, no degree",40
75 years and over,Asian,Male,"Associate's degree, occupational",11
75 years and over,Asian,Male,"Associate's degree, academic",9
75 years and over,Asian,Male,Bachelor's degree,99
75 years and over,Asian,Male,Master's degree,43
75 years and over,Asian,Male,Professional degree,13
75 years and over,Asian,Male,Doctoral degree,12
18 to 24 years,Asian,Female,None,4
18 to 24 years,Asian,Female,1st - 4th grade,4
18 to 24 years,Asian,Female,5th - 6th grade,4
18 to 24 years,Asian,Female,7th - 8th grade,0
18 to 24 years,Asian,Female,9th grade,11
18 to 24 years,Asian,Female,10th grade,6
18 to 24 years,Asian,Female,11th grade2,64
18 to 24 years,Asian,Female,High school graduate,109
18 to 24 years,Asian,Female,"Some college, no degree",377
18 to 24 years,Asian,Female,"Associate's degree, occupational",15
18 to 24 years,Asian,Female,"Associate's degree, academic",22
18 to 24 years,Asian,Female,Bachelor's degree,209
18 to 24 years,Asian,Female,Master's degree,37
18 to 24 years,Asian,Female,Professional degree,4
18 to 24 years,Asian,Female,Doctoral degree,0
25 to 29 years,Asian,Female,None,0
25 to 29 years,Asian,Female,1st - 4th grade,0
25 to 29 years,Asian,Female,5th - 6th grade,3
25 to 29 years,Asian,Female,7th - 8th grade,10
25 to 29 years,Asian,Female,9th grade,0
25 to 29 years,Asian,Female,10th grade,0
25 to 29 years,Asian,Female,11th grade2,8
25 to 29 years,Asian,Female,High school graduate,102
25 to 29 years,Asian,Female,"Some college, no degree",74
25 to 29 years,Asian,Female,"Associate's degree, occupational",22
25 to 29 years,Asian,Female,"Associate's degree, academic",23
25 to 29 years,Asian,Female,Bachelor's degree,347
25 to 29 years,Asian,Female,Master's degree,202
25 to 29 years,Asian,Female,Professional degree,21
25 to 29 years,Asian,Female,Doctoral degree,17
30 to 34 years,Asian,Female,None,0
30 to 34 years,Asian,Female,1st - 4th grade,3
30 to 34 years,Asian,Female,5th - 6th grade,1
30 to 34 years,Asian,Female,7th - 8th grade,9
30 to 34 years,Asian,Female,9th grade,5
30 to 34 years,Asian,Female,10th grade,10
30 to 34 years,Asian,Female,11th grade2,8
30 to 34 years,Asian,Female,High school graduate,102
